,Revenue,COGS,SGA,Operating_Income,Net_Income,COGS_ratio,SGA_ratio,Operating_margin,Net_margin
count,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0
mean,20472893205.926758,-14304231887.550076,-3686066513.9536624,1166998429.3139014,819578653.4663677,0.6101844951664753,0.3361197149822504,0.007957152743838314,-0.03233239379531208
std,74752055111.73734,52016169988.48698,12472396163.581917,4537738861.843257,3698028003.993889,0.17225446608093314,0.27477292777322965,0.2965514265750256,0.40814118232636293
min,1382733.0,-511753000000.0,-139884000000.0,-7133000000.0,-8636000000.0,0.03184745193137335,0.005148543792517007,-3.4080318366109887,-4.266125052555361
25%,672601000.0,-5753195000.0,-2214614000.0,133195.0,-15200000.0,0.5063847164801719,0.20798672968105103,0.00014679250141096424,-0.02191763314081525
50%,1932323000.0,-1189347000.0,-492260000.0,94863000.0,49899000.0,0.6289061966431372,0.2857436844435923,0.04175496050857253,0.024926587886239165
75%,9322256000.0,-377427000.0,-216317000.0,538639000.0,376700000.0,0.7216984431102333,0.38665596381564377,0.10574396195720186,0.07664439918091998
max,680985000000.0,-430281.0,-495815.0,68593000000.0,59248000000.0,1.0319777903449694,3.4883528771970713,0.6585465319097712,1.9190773597330202
