Variable,Coefficient,P_value
Intercept,0.8033304089651542,2.4413603345829754e-46
C(Fiscal_Year)[T.2021],0.003950656308679321,0.7497935362832115
C(Fiscal_Year)[T.2022],0.0011272043065347836,0.9275701219772499
C(Fiscal_Year)[T.2023],0.0029123130859098115,0.8212103095292657
C(Fiscal_Year)[T.2024],0.0019765321132965232,0.8816226997200001
COGS_ratio,-0.8763142441223137,1.0872832662620017e-151
SGA_ratio,-1.0274180548281018,2.057338884790438e-275
Log_Assets,0.003887629235409808,0.08146803454258951
