Ticker,Company Name,Industry,Avg_Revenue,Avg_COGS_ratio,Avg_SGA_ratio,Avg_Operating_Margin,Avg_Net_Margin,Years
WSM,WILLIAMS SONOMA INC,Retail - Apparel & Specialty,7833147000.0,0.5712300768486761,0.26292829740213197,0.1658416257491919,0.12708599625455186,5
RGR,STURM RUGER & CO INC,Retail - Apparel & Specialty,594971200.0,0.7038667032786641,0.1330113251093152,0.16318893577197247,0.1332456233726743,5
YETI,"YETI Holdings, Inc.",Retail - Apparel & Specialty,1517303600.0,0.44347566711431846,0.40846049379173727,0.1480638390939443,0.10960892451443609,5
HD,HOME DEPOT INC,Retail - Apparel & Specialty,150570600000.0,0.6641824628157595,0.17491101775596077,0.144102849677961,0.10135626016678682,5
HOME,At Home Group Inc.,Retail - Apparel & Specialty,1737063000.0,0.6536608056242059,0.20045502091749118,0.14083254320655036,-0.0861966434147754,1
PSMT,"PriceSmart, Inc.",Retail - Defensive,4662870000.0,0.8277676024281259,0.031187659004927315,0.14078374842953462,0.02650718852767507,2
TPR,Tapestry Inc,Retail - Apparel & Specialty,6144860000.0,0.3000547914571148,0.5646386109752018,0.13530659756768335,0.08093554039376671,5
ULTA,"Ulta Salon, Cosmetics & Fragrance, Inc.",Retail - Apparel & Specialty,9498875800.0,0.6234739523569706,0.24397690721142823,0.1312390272221569,0.09720679652058943,5
BOOT,"Boot Barn Holdings, Inc.",Retail - Apparel & Specialty,1523495000.0,0.6342888873097107,0.23487525116878555,0.13083586152150378,0.0963053915499628,5
LOW,LOWES COMPANIES INC,Retail - Apparel & Specialty,90591400000.0,0.6674914382602719,0.19481311221547828,0.11937174607135514,0.07834874771460579,5
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",Retail - Defensive,1796275000.0,0.6174543995924728,0.2518111945438155,0.11392727699508924,0.09341850139095981,3
DKS,DICKS SPORTING GOODS INC,Retail - Apparel & Specialty,12134566600.0,0.6487674890316,0.2346305478736837,0.11391140708606365,0.08611692046958078,5
MELI,MERCADOLIBRE INC,Retail - Apparel & Specialty,11541400000.0,0.5398622984400004,0.19844261994126566,0.11320346914011752,0.042702571418683034,5
DDS,"DILLARD'S, INC.",Retail - Apparel & Specialty,6232021750.0,0.6034566626785621,0.24859469219405372,0.11141369100761123,0.08723981492884114,4
LESL,"Leslie's, Inc.",Retail - Apparel & Specialty,1359719200.0,0.5950130926175369,0.2942888566969691,0.11069805068549407,0.04998965899386662,5
ASO,"Academy Sports & Outdoors, Inc.",Retail - Apparel & Specialty,6190035000.0,0.664101090596716,0.22766805045477487,0.10823085894850915,0.08128275832641371,5
SVV,"Savers Value Village, Inc.",Retail - Apparel & Specialty,1491698333.3333333,0.6385875166404079,0.21225221156282018,0.10757119408888964,0.03774358397918215,3
MOV,MOVADO GROUP INC,Retail - Apparel & Specialty,665822250.0,0.44147369403237424,0.45126213466256804,0.10726417130505776,0.02500426509587513,4
FIVE,"FIVE BELOW, INC",Retail - Apparel & Specialty,3064539000.0,0.6485702104564328,0.21936452364264092,0.10325663480019394,0.07915729703938415,5
CRI,Carter's Inc,Retail - Apparel & Specialty,3102640600.0,0.5353465345221213,0.3623089388925002,0.10234452658537854,0.07114219482886994,5
MIK,"Michaels Companies, Inc.",Retail - Apparel & Specialty,5271112000.0,0.6289061966431372,0.2638190954773869,0.10121962879938806,0.055953089215330654,1
LEAT,Leatt Corp,Retail - Apparel & Specialty,55736954.0,0.5772549535614142,0.12094537361610154,0.1010310792304677,0.0771006599192002,5
KAR,Openlane Inc.,Retail - Apparel & Specialty,1485500000.0,0.5459349586578162,0.2817061831585728,0.10095162445139566,0.027823668531035278,4
TSCO,Tractor Supply Company,Retail - Apparel & Specialty,13399029200.0,0.6444656832564515,0.2301161519614471,0.10084547773075833,0.07510929862316748,5
HIBB,HIBBETT SPORTS INC,Retail - Apparel & Specialty,1637011000.0,0.6431164257656123,0.2338865880815105,0.09897743543005647,0.07250311412785496,4
CONN,CONNS INC,Retail - Apparel & Specialty,1389066500.0,0.5098627206328236,0.3833986092935471,0.0989547116639288,-0.010125554975060473,4
IVDN,INNOVATIVE DESIGNS INC,Retail - Apparel & Specialty,1382733.0,0.5450965587716501,0.3585760953126887,0.09632734591566124,0.07009523892175858,1
ROST,ROSS STORES INC,Retail - Apparel & Specialty,18329959600.0,0.7408819803929783,0.16300957683539005,0.0961084427716317,0.0739390267122512,5
SCVL,SHOE CARNIVAL INC,Retail - Apparel & Specialty,1201589400.0,0.6434864176199175,0.26057387948206867,0.0959397028980138,0.07374405418956706,5
DLTR,Dollar Tree,Retail - Defensive,20320320000.0,0.6617618153458669,0.2446466729312092,0.09359151172292396,-0.0047997692195852594,5
SBH,"Sally Beauty Holdings, Inc.",Retail - Apparel & Specialty,3730010800.0,0.4974098040261432,0.4125190924202965,0.09007110355356032,0.0466035466645613,5
ARHS,"Arhaus, Inc.",Retail - Apparel & Specialty,1018418000.0,0.5903141200655504,0.3199504042453206,0.08973547568912896,0.060170507476656955,5
HVT,"Haverty Furniture Companies, Inc.",Retail - Apparel & Specialty,878659600.0,0.416312705982679,0.5055437199275309,0.08747171487658384,0.0693927241522798,5
TJX,TJX COMPANIES INC /DE/,Retail - Apparel & Specialty,48240000000.0,0.7192583826280818,0.19431884048826284,0.08642277688365524,0.06185875359365173,5
FND,"Floor & Decor Holdings, Inc.",Retail - Apparel & Specialty,3798689600.0,0.5800464305550612,0.33225498609092674,0.08210816368450666,0.0669450715061746,5
ANF,ABERCROMBIE & FITCH CO /DE/,Retail - Apparel & Specialty,3953033400.0,0.3864605973528047,0.5355632849901751,0.07943515453564906,0.04523838242868985,5
DG,DOLLAR GENERAL CORP,Retail - Defensive,37023213600.0,0.6910545208503722,0.23037966793571707,0.07856581121391074,0.056653868246472006,5
SIG,SIGNET JEWELERS LTD,Retail - Apparel & Specialty,6953980000.0,0.6188481419910048,0.2988504518625305,0.07681689327274169,0.05312861717251218,5
GES,GUESS INC,Retail - Apparel & Specialty,2585462600.0,0.5750228246697849,0.34992736272464803,0.07504981260556709,0.034012656587753334,5
RVLV,"Revolve Group, Inc.",Retail - Apparel & Specialty,954417000.0,0.46866601341304504,0.430442089069816,0.0711820198158007,0.06665957038705642,5
EYE,"National Vision Holdings, Inc.",Retail - Apparel & Specialty,1803130200.0,0.40014396866978874,0.478562862245065,0.07026762759456233,0.011064480811433075,5
AAP,ADVANCE AUTO PARTS INC,Retail - Apparel & Specialty,10084394666.666666,0.5487246738957295,0.3825025724439888,0.06877275366028163,0.0512638793220031,3
TCS,"The Container Store Group, Inc.",Retail - Apparel & Specialty,994811000.0,0.42298431705669404,0.4612331658489774,0.06829926000578872,-0.03499128040137772,4
GPC,GENUINE PARTS CO,Retail - Apparel & Specialty,20816219000.0,0.646847672541264,0.26987260683648806,0.06745278553219311,0.03898081809117428,5
IMKTA,INGLES MARKETS INC,Retail - Defensive,4799264314.0,0.7393959068292831,0.19652606296894423,0.06407803020177263,0.04440215844569649,2
LQDT,LIQUIDITY SERVICES INC,Retail - Apparel & Specialty,284260200.0,0.45073262700128713,0.26277352703241263,0.06335204975191532,0.0890449451613724,5
ELA,Envela Corporation,Retail - Apparel & Specialty,153209443.25,0.7732413078892656,0.1562773824878906,0.06331027715738412,0.06349627422729344,4
AMZN,AMAZON COM INC,Retail - Apparel & Specialty,516522600000.0,0.5575157428103421,0.09040690500616333,0.061546307182177074,0.05335494769557779,5
ASNA,"Ascena Retail Group, Inc.",Retail - Apparel & Specialty,3718100000.0,0.4938543879938678,0.3822113445039133,0.06134853823189263,-0.30709233183615287,1
URBN,URBAN OUTFITTERS INC,Retail - Apparel & Specialty,4699531800.0,0.6870288096114529,0.25186139093802673,0.06110979945052046,0.04605572878802318,5
ACU,ACME UNITED CORP,Retail - Defensive,182888475.75,0.6439970895481149,0.2957699717280071,0.06023293872387806,0.05823432539072694,4
TGT,TARGET CORP,Retail - Defensive,104532800000.0,0.7222415034753905,0.1959729639736552,0.05898176319379349,0.04292035689479774,5
AEO,AMERICAN EAGLE OUTFITTERS INC,Retail - Apparel & Specialty,4586577000.0,0.6491027693898603,0.252727365937788,0.05885308776824444,0.01771741463678375,3
SFM,"Sprouts Farmers Market, Inc.",Retail - Defensive,6705905000.0,0.6306808863042905,0.2907785560304054,0.05757000780208047,0.04248146461440696,5
BRLT,"Brilliant Earth Group, Inc.",Retail - Apparel & Specialty,388086800.0,0.47001794984087564,0.4735504058577515,0.05643164430137284,0.019428534786721442,5
