Ticker,Company Name,Sector,Industry,Fiscal_Year,Report Date,Revenue,COGS,SGA,Operating_Income,Net_Income,Total Assets,COGS_ratio,SGA_ratio,Operating_margin,Net_margin,Log_Assets
AMZN,AMAZON COM INC,Consumer Cyclical,Retail - Apparel & Specialty,2021,2021-12-31,469822000000.0,-272344000000.0,-41374000000.0,24879000000.0,33364000000,420549000000.0,0.579674855583604,0.08806313880576049,0.052954097509269465,0.07101412875514557,26.764826837513485
AMZN,AMAZON COM INC,Consumer Cyclical,Retail - Apparel & Specialty,2022,2022-12-31,513983000000.0,-288831000000.0,-54129000000.0,12248000000.0,-2722000000,462675000000.0,0.5619466013467371,0.10531282163028738,0.023829581912242232,-0.005295895000418302,26.860290700710223
AMZN,AMAZON COM INC,Consumer Cyclical,Retail - Apparel & Specialty,2023,2023-12-31,574785000000.0,-304739000000.0,-56186000000.0,36852000000.0,30425000000,527854000000.0,0.5301791104499943,0.0977513331071618,0.0641144079960333,0.05293283575597832,26.992085567263793
AMZN,AMAZON COM INC,Consumer Cyclical,Retail - Apparel & Specialty,2024,2024-12-31,637959000000.0,-326288000000.0,-55266000000.0,68593000000.0,59248000000,624894000000.0,0.5114560653584321,0.08662939154397069,0.1075194487420038,0.09287117197186653,27.160847872299108
ANDE,"The Andersons, Inc.",Consumer Defensive,Retail - Defensive,2020,2020-12-31,8064620000.0,-7698423000.0,-377695000.0,-11498000.0,7710000,4272121000.0,0.9545921568530197,0.04683357678353103,-0.0014257336365507613,0.0009560276863633996,22.175376262173227
ANDE,"The Andersons, Inc.",Consumer Defensive,Retail - Defensive,2021,2021-12-31,12612050000.0,-12019353000.0,-423126000.0,169571000.0,103986000,4569219000.0,0.9530054987095674,0.033549343683223584,0.013445157607208979,0.00824497207036128,22.24260813009258
ANDE,"The Andersons, Inc.",Consumer Defensive,Retail - Defensive,2022,2022-12-31,17325384000.0,-16641220000.0,-457556000.0,226608000.0,131080000,4607996000.0,0.9605108896864855,0.026409573375112495,0.013079536938402058,0.007565777474253962,22.251058892284068
ANDE,"The Andersons, Inc.",Consumer Defensive,Retail - Defensive,2023,2023-12-31,14750112000.0,-14004749000.0,-492260000.0,253103000.0,101190000,3855007000.0,0.9494672989601706,0.033373305911168674,0.01715939512866072,0.006860286891380893,22.07263865978366
ANDE,"The Andersons, Inc.",Consumer Defensive,Retail - Defensive,2024,2024-12-31,11257548000.0,-10563622000.0,-503620000.0,190306000.0,114012000,4121314000.0,0.9383590458597201,0.044736207209598394,0.01690474693068153,0.010127605052183655,22.13943788149867
ANF,ABERCROMBIE & FITCH CO /DE/,Consumer Cyclical,Retail - Apparel & Specialty,2020,2021-01-31,3125384000.0,-1234179000.0,-1843791000.0,52468000.0,-114021000,3314902000.0,0.3948887560696542,0.5899406280956196,0.01678769712777694,-0.036482237062709734,21.921693897552988
ANF,ABERCROMBIE & FITCH CO /DE/,Consumer Cyclical,Retail - Apparel & Specialty,2021,2022-01-31,3712768000.0,-1400773000.0,-1977238000.0,343084000.0,263010000,2939491000.0,0.3772853569089154,0.5325509161897538,0.09240652795973246,0.0708393306557264,21.801502274056702
ANF,ABERCROMBIE & FITCH CO /DE/,Consumer Cyclical,Retail - Apparel & Specialty,2022,2023-01-31,3697751000.0,-1593213000.0,-2014564000.0,92648000.0,2816000,2713100000.0,0.43086000111959943,0.5448079116197927,0.02505522951653586,0.0007615439763250689,21.721357729508966
