,Revenue,COGS,SGA,Operating_Income,Net_Income,COGS_ratio,SGA_ratio,Operating_margin,Net_margin,ROA
count,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0
mean,13279333082.627659,-8056580432.317021,-2364202518.919149,1106756416.6851063,816294943.8914894,0.5680151157778068,0.34266952910151766,0.046307577087586475,0.013422927773735154,0.03595588775283826
std,56355645539.1969,31709659797.881813,5975621822.26877,4662593503.312436,4031911357.5125227,0.1508635569117689,0.15745866581983559,0.1587689204159079,0.16835264977813028,0.19729504075089307
min,12146790.0,-326288000000.0,-56186000000.0,-1504000000.0,-3944000000.0,0.15602665375771152,0.02721528360751241,-0.608333900630029,-0.7869891621864453,-0.5668952049610628
25%,648337500.0,-4440796500.0,-2144736250.0,1348525.25,-18972500.0,0.4695482204961786,0.24001617945870565,0.00220065130845989,-0.016293934062485776,-0.023305462525621483
50%,1710107500.0,-1021599859.0,-542832500.0,101754500.0,57536500.0,0.583694035195061,0.3154594434439296,0.06444965120894736,0.04318832093956834,0.04949248498128757
75%,7861358500.0,-336189761.75,-280416750.0,484178250.0,310153000.0,0.6655615973647597,0.415799937433208,0.1251636647237668,0.09071188101661234,0.1213507853172343
max,637959000000.0,-2103900.0,-3458099.0,68593000000.0,59248000000.0,0.8641835012739987,0.8682714805103531,0.5740226257485593,0.4865143949252013,1.0578353607649296
