Ticker,Company Name,Sector,Industry,Fiscal_Year,Report Date,Revenue,COGS,SGA,Operating_Income,Net_Income,Total Assets,COGS_ratio,SGA_ratio,Operating_margin,Net_margin,ROA,Log_Assets
TPR,Tapestry Inc,Consumer Cyclical,Retail - Apparel & Specialty,2022,2022-06-30,6684500000.0,-2034100000.0,-3474600000.0,1175800000.0,856300000,7265300000.0,0.3043009948388062,0.5197995362405565,0.1758994689206373,0.12810232627720847,0.11786161617551925,22.70637542699083
TPR,Tapestry Inc,Consumer Cyclical,Retail - Apparel & Specialty,2023,2023-06-30,6660900000.0,-1946000000.0,-3542500000.0,1172400000.0,936000000,7116800000.0,0.292152712095963,0.5318350373072708,0.1760122505967662,0.14052155114173762,0.13151978417266186,22.685724023140427
TPR,Tapestry Inc,Consumer Cyclical,Retail - Apparel & Specialty,2024,2024-06-30,6671200000.0,-1781700000.0,-3749400000.0,1140100000.0,816000000,13396300000.0,0.2670733900947356,0.5620278210816645,0.17089878882359996,0.12231682455929968,0.06091234146742011,23.31824438637231
TSCO,Tractor Supply Company,Consumer Cyclical,Retail - Apparel & Specialty,2020,2020-12-31,10620352000.0,-6858803000.0,-2478524000.0,1065901000.0,748958000,7049116000.0,0.645816918309299,0.2333749389850732,0.10036399923467697,0.07052101474602725,0.1062484998118913,22.676168055837675
TSCO,Tractor Supply Company,Consumer Cyclical,Retail - Apparel & Specialty,2021,2021-12-31,12731105000.0,-8253952000.0,-2900297000.0,1306698000.0,997114000,7767467000.0,0.6483295833315332,0.22781188278629388,0.10263822346921182,0.07832108838942103,0.12837054859711666,22.77320995075126
TSCO,Tractor Supply Company,Consumer Cyclical,Retail - Apparel & Specialty,2022,2022-12-31,14204717000.0,-9232513000.0,-3194199000.0,1434943000.0,1088712000,8489990000.0,0.6499610657502012,0.2248688939033421,0.10101876721655208,0.07664439918091998,0.12823478001740873,22.862153659412673
TSCO,Tractor Supply Company,Consumer Cyclical,Retail - Apparel & Specialty,2023,2023-12-31,14555741000.0,-9327522000.0,-3356258000.0,1478912000.0,1107226000,9188151000.0,0.6408139578740787,0.2305796729963799,0.1016033467482006,0.07606799269099389,0.12050585585717953,22.941180556117974
TSCO,Tractor Supply Company,Consumer Cyclical,Retail - Apparel & Specialty,2024,2024-12-31,14883231000.0,-9486674000.0,-3481863000.0,1467532000.0,1101240000,9805485000.0,0.6374068910171454,0.23394537113614644,0.09860305198515026,0.07399199810847523,0.11230857015231781,23.006207759930287
TTSH,"Tile Shop Holdings, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2020,2020-12-31,325057000.0,-103532000.0,-215149000.0,6376000.0,6031000,342690000.0,0.31850413927403504,0.6618808393604814,0.01961502136548359,0.018553669048812976,0.0175989961773031,19.65233680637824
TTSH,"Tile Shop Holdings, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2021,2021-12-31,370700000.0,-117570000.0,-232520000.0,20610000.0,14774000,340758000.0,0.3171567305098462,0.6272457512813596,0.055597518208794175,0.03985432964661451,0.04335628217092482,19.64668310588821
