Variable,Coefficient,P_value
Intercept,0.6630513780161403,5.387944824885918e-08
C(Fiscal_Year)[T.2021],0.03471546713166223,0.05333788761437183
C(Fiscal_Year)[T.2022],-6.291730239985537e-06,0.999720720520535
C(Fiscal_Year)[T.2023],0.01274238916424629,0.4195907802781841
C(Fiscal_Year)[T.2024],0.016228527674486945,0.2987934253986392
COGS_ratio,-0.6827398805797089,6.215703901088852e-24
SGA_ratio,-0.8675900555324975,7.517229865657261e-29
Log_Assets,0.0010749130213016126,0.7896569984546057
