Variable,Coefficient,P_value
Intercept,0.8919651871944914,7.450841563943366e-05
C(Fiscal_Year)[T.2021],0.046833860836354685,0.041171894375615005
C(Fiscal_Year)[T.2022],-0.005124274062254046,0.8255908216693062
C(Fiscal_Year)[T.2023],0.011577596499032748,0.5863341346518539
C(Fiscal_Year)[T.2024],0.022091916535688465,0.31885399090428346
COGS_ratio,-0.7942382924952183,9.699769562733884e-12
SGA_ratio,-0.8950015108833006,9.805018162646883e-21
Log_Assets,-0.005321906528363014,0.45954987258062596
