Ticker,Company Name,Avg_Revenue,Avg_COGS_ratio,Avg_SGA_ratio,Avg_Operating_Margin,Avg_Net_Margin,Avg_ROA,Years
WINA,WINMARK CORP,78044280.0,0.12932187994534372,0.3159297628216834,0.5840726447988974,0.46417997705751735,0.8167500316376559,5
OLPX,"Olaplex Holdings, Inc.",493171800.0,0.2894750451896136,0.251422228987698,0.36676612033894074,0.20705323232966136,0.0722318833367024,5
BKE,BUCKLE INC,1203972600.0,0.5141595306064966,0.26530826216443454,0.22053220722906888,0.17308451882859283,0.24907873506184477,5
DECK,DECKERS OUTDOOR CORP,3719328200.0,0.4623121346847279,0.33566985859282256,0.20201800672244946,0.16143019501787598,0.21705782083594313,5
ORLY,O REILLY AUTOMOTIVE INC,14372529000.0,0.4824065892704592,0.3118950074199129,0.20569840330962785,0.15108882025486686,0.16745395873034605,5
LULU,lululemon athletica inc.,7795283600.0,0.4268398605043465,0.35392930891860674,0.21834401246491356,0.14552077885294049,0.18954904236753567,5
AZO,AUTOZONE INC,15892251800.0,0.4729237489987139,0.3275129112809655,0.1995633397203206,0.14477207335070313,0.14837658572570536,5
WSM,WILLIAMS SONOMA INC,7833147000.0,0.5712300768486761,0.26292829740213197,0.1658416257491919,0.12708599625455186,0.20475207130593054,5
BBWI,"Bath & Body Works, Inc.",7322400000.0,0.5441964339449837,0.2493185602415992,0.20648500581341706,0.12670271408670353,0.15285462514028456,5
RH,RH,3152024000.0,0.5252462847431295,0.28327179000634334,0.19148192525052712,0.1246735990149181,0.10394782390251343,3
YETI,"YETI Holdings, Inc.",1517303600.0,0.44347566711431846,0.40846049379173727,0.1480638390939443,0.10960892451443609,0.15123227027439484,5
ULTA,"Ulta Salon, Cosmetics & Fragrance, Inc.",9498875800.0,0.6234739523569706,0.24397690721142823,0.1312390272221569,0.09720679652058943,0.1798301135294374,5
BOOT,"Boot Barn Holdings, Inc.",1523495000.0,0.6342888873097107,0.23487525116878555,0.13083586152150378,0.0963053915499628,0.10245055518564203,5
LQDT,LIQUIDITY SERVICES INC,284260200.0,0.45073262700128713,0.26277352703241263,0.06335204975191532,0.0890449451613724,0.09006727608983525,5
DDS,"DILLARD'S, INC.",6232021750.0,0.6034566626785621,0.24859469219405372,0.11141369100761123,0.08723981492884114,0.1811557903389756,4
DKS,DICKS SPORTING GOODS INC,12134566600.0,0.6487674890316,0.2346305478736837,0.11391140708606365,0.08611692046958078,0.1152604317993918,5
ASO,"Academy Sports & Outdoors, Inc.",6190035000.0,0.664101090596716,0.22766805045477487,0.10823085894850915,0.08128275832641371,0.1099815653926836,5
TPR,Tapestry Inc,6144860000.0,0.3000547914571148,0.5646386109752018,0.13530659756768335,0.08093554039376671,0.06550391216961451,5
FIVE,"FIVE BELOW, INC",3064539000.0,0.6485702104564328,0.21936452364264092,0.10325663480019394,0.07915729703938415,0.072989876278912,5
