,Revenue,COGS,SGA,Operating_Income,Net_Income,COGS_ratio,SGA_ratio,Operating_margin,Net_margin,ROA
count,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0
mean,6340759317.411111,-4102324587.0866666,-1617242944.2044444,514795639.6488889,316662703.62,0.5687052982354286,0.3499597275844323,0.04119808901026229,0.006890799109078656,0.025957515871845294
std,12366270436.95251,8556608923.833419,2586270688.2473345,1399757599.8561594,1026910025.342828,0.15028463757304078,0.1562761729361301,0.15965501920786604,0.17082410727415537,0.18131427023104263
min,12146790.0,-64802000000.0,-20332000000.0,-1504000000.0,-3944000000.0,0.12932187994534372,0.025464371214494463,-0.6115072191382879,-0.8608503130914343,-0.5884273216634635
25%,640757500.0,-4200345500.0,-1941067750.0,-2732406.75,-20617448.5,0.4695482204961786,0.24709030930596437,-0.004642986112362414,-0.019338942747383972,-0.02991681968826305
50%,1662861000.0,-979531500.0,-519877931.0,91436500.0,50579000.0,0.5815313543021781,0.320416747820335,0.06116532073231633,0.03929170356657792,0.04515996427392961
75%,7273025000.0,-314496750.0,-280416750.0,433002250.0,282125000.0,0.6657555593985821,0.42620597383129644,0.11811155575488816,0.08619685490107029,0.11766953116861226
max,97059000000.0,-2103900.0,-3458099.0,12093000000.0,8442000000.0,0.8645511455696087,0.8759514502032223,0.5840726447988974,0.46736360514658803,0.8167500316376559
