Variable,Coefficient,P_value
Intercept,0.6580651889313572,0.0005787436232891398
C(Fiscal_Year)[T.2021],0.05475627409589202,0.008151539465561077
C(Fiscal_Year)[T.2022],0.006136719705546679,0.7696064803961372
C(Fiscal_Year)[T.2023],0.020609671637472626,0.2603747924345289
C(Fiscal_Year)[T.2024],0.03259774227039281,0.08606318187939202
COGS_ratio,-0.7338450228149576,6.5740076961237e-14
SGA_ratio,-0.8377341714385181,4.65439247872965e-24
Log_Assets,0.00264341759765127,0.6931286514857535
