Variable,Coefficient,P_value
Intercept,0.5738036363473457,3.0400940739119478e-06
C(Fiscal_Year)[T.2021],0.03509373969095028,0.06230809921713005
C(Fiscal_Year)[T.2022],0.007060739907420517,0.6986513359773221
C(Fiscal_Year)[T.2023],0.014809321465284497,0.36668937018117487
C(Fiscal_Year)[T.2024],0.01947136754586711,0.23003243856202893
COGS_ratio,-0.7093483850281764,5.351550604015253e-24
SGA_ratio,-0.8936451452763865,2.5431524268840455e-27
Log_Assets,0.006342436710507825,0.119321823342236
